id,symbol,status,date,period,price_at_analysis,position_bias,directional_bias,entry_range,target_range,re_evaluation_level,briefing_notes,result_text,outcome,inactive_datetime
1092,FNV,Inactive,2026-08-19T17:52:30.713Z,Short-Term (1-3 weeks),238.0,Long,None,232.0 - 228.0,245.0 - 251.0,< 226.0,Weekly rising phase. Daily minor corrective period forming bull flag. Favorable is minor 38.2 to 50. Re-eval is 21 EMA daily. S-T low due 8/20 - 8/28.,Hit the target - note this morphed in many ways into a breakout play this AM!,Target Zone Reached (Early / Missed Entry),2026-08-19T23:50:48Z
1091,LLY,Inactive,2026-08-19T17:51:27.260Z,Short-Term (1-3 weeks),1227.0,Long,None,1230.0 - 1230.0,1276.0 - 1322.0,< 1181.0,weekly rising phase - retested breakout and hold. Expected another swing up expected to new highs. Daily rising phase just getting underway. Close > 1230 would set this up for higher. 1276 - 1322 fib extension targets.,This was a duplicated trade idea as I was trying to fix the trade ideas page - already hit target on 8/19,Target Zone Reached,2026-08-19T01:35:39Z
1090,TECK,Active,2026-08-19T13:27:31.567Z,Short-Term (1-3 weeks),65.4,Long,None,65.22 - 65.22,,< 71.25,Weekly rising phase. Daily low due mid to end of Aug. Breakout setup vs 65.22 re-eval new lows.,,Pending / Inactive,
1089,FCX,Active,2026-08-18T13:39:46.689Z,Short-Term (1-3 weeks),67.78,Long,None,69.0 - 69.0,71.25 - 72.25,< 66.54,Weekly rising phase. Daily low due 8/12 - 8/26. Breakout play vs yesterday HOD - needs to close over to turn green on site. Targeting at first recent swing highs.,,Pending / Inactive,
1087,INTC,Inactive,2026-08-13T15:15:00.990Z,Short-Term (1-3 weeks),105.0,Long,None,103.7 - 103.7,112.0 - 119.0,< 95.5,Weekly low due. Daily low formed and done basing now. Breakout vs recent range. Targeting 50 -61.8.,scratching INTC here as it retests the breakout - semis generally are weakening a bit and this may need more time to set up.,Pending / Inactive,2026-08-14T14:24:26Z
1086,META,Inactive,2026-08-12T19:10:21.023Z,Short-Term (1-3 weeks),580.0,Short,None,589.0 - 597.0,568.0 - 558.0,> 605.0,Weekly low due Aug/Oct. Daily stalling around base of gap. Watching for daily EMAs to act as resistance on test up. Targeting 50-61.8 retracements. see video.,Great swing down in META into mid 540s before turning up just before 78.6 fib.,Target Zone Reached,2026-08-18T15:24:37Z
1084,XLE,Inactive,2026-08-10T16:39:27.186Z,Short-Term (1-3 weeks),59.56,Long,None,59.9 - 59.4,61.0 - 62.0,< 58.69,"Weekly rising phase - momentum up. Daily rising phase just getting underway. Daily EMAs are positive. See video. Raising levels 8/13 at 9:40 AM ET - favorable zone is 8 - 13 daily ema, re-eval now the 21 ema daily.",Hit targets - did not get into favorable as support came in at old breakout,Target Zone Reached (Early / Missed Entry),2026-08-18T13:44:17Z
1083,AAPL,Inactive,2026-08-06T13:22:12.692Z,Short-Term (1-3 weeks),314.0,Short,None,316.0 - 322.0,301.0 - 295.0,> 327.0,Weekly corrective phase low due 9/14 - 10/26. Daily low due around now. Watching for bear flag to form and a move to fail around the daily EMAs. See video.,Hit first target and now going to set up a secondary play vs 300 breakdown..,Target Zone Reached,2026-08-18T15:27:53Z
1082,CLF,Inactive,2026-08-05T13:18:52.457Z,Short-Term (1-3 weeks),12.31,Long,None,12.35 - 12.0,13.11 - 13.71,< 11.54,Weekly early in rising phase. Daily earnings gap up flag and continuation play. See video.,scratching as it is forming cycle high on daily,Pending / Inactive,2026-08-12T13:42:46Z
1081,FCX,Inactive,2026-08-04T13:15:41.563Z,Short-Term (1-3 weeks),65.85,Long,None,65.5 - 65.5,68.76 - 72.28,< 62.25,Weekly low likely just forming. Daily low formed and now trying to come out of a base. Breakout setup so needs to hold off any AM selling and then if it closes through breakout level it will be green on the site. See video.,Got into the target. Look at how the stock based above the breakout level around the 10:30 AM ET on 8/4 - that was a key moment for this name.,Target Zone Reached,
